address, amount
0xF395767ae0e947504651a33aC2899520c551955D, 331
0x7285e8F0186a0A41E73ceF7603AD7b80A2d5a793,196
0x440Bcc7a1CF465EAFaBaE301D1D7739cbFe09dDA,107
0x08c1AE7E46D4A13b766566033b5C47c735e19F6f,91
0x76C1cFe708ED1d2FF2073490727f3301117767e9,50
0x66664cbab1d5cF6b0C85DbCC71829812E27F7F4c,48
0x720A4FaB08CB746fC90E88d1924a98104C0822Cf,31
0xd66F8eAf84b11654a19126a98a3F55B960846Dd8,28
